model,val_f1,test_f1,train_not,train_multi,train_text,train_image,test_not,test_multi,test_text,test_image,test_not_epoch_2,train_not_epoch_2,te_b2_1epoch5_no_epoch2,tr_b2_1epoch5_no_epoch2,te_b2_1epoch5_b3_1.1_e7_no_e2,tr_b2_1epoch5_b3_1.1_e7_no_e2
vintern_v1_epoch2,0.3964140121252724,0.38963485679441767,875.0,738.0,0.0,6.0,473.0,939.0,0.0,1.0,0.3950902131408822,0.4030389544474051,0.4097484303,0.41382754363946395,0.4059251449,0.4148564676692726
vintern_v1_epoch3,0.39510142887642014,0.4077608419746368,913.0,695.0,0.0,11.0,487.0,917.0,0.0,9.0,0.4184862223145145,0.40672112721582687,0.4178788014,0.4146094209719643,0.4272139271,0.41585299796956726
vintern_v1_epoch4,0.39150867865819283,0.3787910699255794,914.0,682.0,0.0,23.0,517.0,881.0,0.0,15.0,0.40056369575091666,0.41099636739019074,0.4100418115,0.4110736340735173,0.4068554309,0.40634387215643253
vintern_v1_epoch5,0.38899088761029815,0.38196398763830214,904.0,670.0,1.0,44.0,533.0,845.0,0.0,35.0,0.4088158235206607,0.4133821871660541,0.4088158235,0.4133821871660541,,0.398935420345198
vintern_v1_1_epoch4,0.39593192510498565,0.39264108359565886,916.0,676.0,0.0,27.0,524.0,874.0,0.0,15.0,0.41245013426850885,0.4140210504501926,0.4150220253,0.41437484403619496,0.4228889042,0.41991804898473484
vintern_v1_1_epoch5,0.3908204296601884,0.397726618,935.0,659.0,0.0,25.0,534.0,858.0,0.0,21.0,0.4177417747,0.4091567799969189,0.4126274006,0.4105851800286029,0.4176994417,0.4161901152909834
vintern_v1_1_epoch6,0.39193847527501935,0.4065629022,938.0,654.0,0.0,27.0,539.0,853.0,0.0,21.0,0.4282051925,0.41400866530624314,0.4200827755,0.415077918268137,0.419226467,0.4208554255794468
vintern_v1_1_epoch7,0.3958880518931165,0.3928831452,935.0,653.0,0.0,31.0,539.0,849.0,0.0,25.0,0.4145782666,0.4173923202309512,0.4123917101,0.4145090439276486,0.4151547086,0.4192763105702792
vintern_v2_epoch2,0.3968347299954899,0.3898785810643348,889.0,723.0,0.0,7.0,460.0,950.0,0.0,3.0,0.3936808317887903,0.4021248746753893,0.4156061973,0.41456719348509175,0.402652293,0.4215626675548068
vintern_v2_epoch3,0.3850833800754242,0.41557615765881695,932.0,670.0,0.0,17.0,502.0,902.0,0.0,9.0,0.4177265599915593,0.40254047360331713,0.4231450647,0.4096622875518497,0.399597092,0.42150323748483354
vintern_v2_1_epoch3,0.38873407930593556,0.40054043366169567,892.0,713.0,0.0,14.0,484.0,923.0,0.0,6.0,0.4071201253687884,0.4047486690419378,0.4156246152,0.4121560772521049,0.4017954055,0.4162167403165566
vintern_v2_1_epoch4,0.3866261783134707,0.397257455,909.0,695.0,0.0,15.0,498.0,908.0,0.0,7.0,0.4060422571,0.4038767195844438,0.416014107,0.4113769297496534,0.4011098206,0.4177812951806493
vintern_v2_1_epoch5,0.3850471298325261,0.3920332961,914.0,691.0,0.0,14.0,506.0,899.0,0.0,8.0,0.4050995119,0.4047486690419378,0.4139232514,0.4111057766169919,0.3997849423,0.4224884493935066
vintern_v3_epoch3,0.40058314847595977,0.38716210626827285,891.0,722.0,0.0,6.0,445.0,966.0,0.0,2.0,0.394623865,0.4026868417713488,0.411874495,0.41564565954050564,0.3908558732,0.4220296348386372
vintern_v3_epoch4,0.3991710058982487,0.3896978576208471,867.0,747.0,0.0,5.0,434.0,978.0,0.0,1.0,0.3950902131,0.403623998764685,0.4162646894,0.4138433603726024,0.3916263655,0.42286216108831765
vintern_v5_epoch7,0.4056133491988473,0.3603096916,918.0,683.0,0.0,18.0,534.0,873.0,0.0,6.0,,0.4226364737227476,0.4046812355,0.42022792562420075,0.3768483227,0.42349714461978294
vintern_v6_epoch2,0.3910729760959053,0.3937542693,869.0,743.0,0.0,7.0,452.0,960.0,0.0,1.0,0.3950902131,0.39392815336391396,0.4187125924,0.4138439564353487,0.4025617712,0.41027860379111136
vintern_v6_epoch3,0.388789465050035,0.3857219546,907.0,703.0,0.0,9.0,496.0,913.0,0.0,4.0,0.3930280533,0.4007662391506637,0.4179877155,0.4133249857248491,0.4002204913,0.4125111134033785
vintern_v6_1_epoch2,0.38145883234424593,0.3693553748,882.0,732.0,0.0,5.0,472.0,941.0,0.0,0.0,0.3777405806,0.3866748462223122,0.409123399,0.4135417903471988,0.3901140964,0.4049347266077026
vintern_v6_1_epoch3,0.38727463543550167,0.3890042858,891.0,721.0,0.0,7.0,470.0,942.0,0.0,1.0,0.3950902131,0.39392815336391396,0.4169328012,0.4138343591008559,0.4016438128,0.4150512382759156
vintern_v6_1_epoch4,0.38253904886744117,0.3872594243,910.0,700.0,0.0,9.0,483.0,927.0,0.0,3.0,0.3936808318,0.39247712190526995,0.4183148058,0.41185401882049344,0.3999612628,0.4141312671321461
